1-1	오네이
1-2	제이제이에이컴퍼니
1-3	제이제이전문몰
2-1	서이컴퍼니
2-2	제이제이비컴퍼니
2-3	소형리빙전문업소
3-1	와이제이에스컴퍼니
3-2	와이제이공구몰
3-3	와이제이전문몰
4-1	서이서하컴퍼니
4-2	서이서하공구몰
4-3	업소용전문오피스
11-1	와이제이스컴퍼니
11-2	제이제이에프컴퍼니
11-3	엔잡전문몰
13-1	와이제이쓰컴퍼니
13-2	업소용전문사무실
13-3	와이제이즈컴퍼니
14-1	와이제이크컴퍼니
14-2	이동식미니하우스
14-3	제이와이디컴퍼니
15-1	와이제이엠엠컴퍼니
15-2	제이와이이컴퍼니
15-3	YJFAMILY
16-1	와이제이엔컴퍼니
16-2	제이와이에이컴퍼니
16-3	제이와이전문몰
17-1	와이제이큐컴퍼니
17-2	온에이컴퍼니
17-3	오운웨이컴퍼니
18-1	와이제이알컴퍼니
18-2	제이에스에이컴퍼니
18-3	리포플
19-1	와이제이티컴퍼니
19-2	제이제이이컴퍼니
19-3	레벨컴퍼니
20-1	와이제이유컴퍼니
20-2	오운왜이컴퍼니
20-3	온애이컴퍼니
21-1	와이제이브이컴퍼니
21-2	제이제이씨컴퍼니
21-3	조흔가게
22-1	와이제이더블유컴퍼니
22-2	오내이컴퍼니
22-3	제이제이디컴퍼니
23-1	와이제이엑스컴퍼니
23-2	제이와이쓰컴퍼니
23-3	제이와이에프컴퍼니
24-1	와이제이와이컴퍼니
24-2	스피디쇼핑몰
24-3	업소용공구전문몰
25-1	와이제이지컴퍼니
25-2	소형이동식오피스
25-3	산업용전문공구몰
